Departamento,Capital,Superficie,Altitud
Amazonas,Chachapoyas,39249,2339
Áncash,Huaraz,35915,3038
Apurímac,Abancay,20896,2392
Arequipa,Arequipa,63345,2337
Ayacucho,Ayacucho,43815,2760
Cajamarca,Cajamarca,33318,2719
Callao,Callao,147,3
Cusco,Cusco,71987,3414
Huancavelica,Huancavelica,22131,3679
Huánuco,Huánuco,36849,1898
Ica,Ica,21328,409
Junín,Huancayo,44197,3245
La Libertad,Trujillo,25500,34
Lambayeque,Chiclayo,14231,34
Lima Metropolitana,Lima,2673,161
Lima (departamento),Huacho,34802,37
Loreto,Iquitos,368852,91
Madre de Dios,Puerto Maldonado,85301,205
Moquegua,Moquegua,15734,1417
Pasco,Cerro de Pasco,25320,4342
Piura,Piura,35892,36
Puno,Puno,71999,3848
San Martín,Moyobamba,51253,878
Tacna,Tacna,16076,585
Tumbes,Tumbes,4669,23
Ucayali,Pucallpa,102411,157
